work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2022,SE,FT,Data Scientist,191475.0,USD,191475.0,US,100,US,M
2022,SE,FT,Data Scientist,141525.0,USD,141525.0,US,100,US,M
2022,SE,FT,Data Scientist,191475.0,USD,191475.0,US,100,US,M
2022,SE,FT,Data Scientist,141525.0,USD,141525.0,US,100,US,M
2022,SE,FT,Data Scientist,191475.0,USD,191475.0,US,100,US,M
2022,SE,FT,Data Scientist,141525.0,USD,141525.0,US,100,US,M
2022,SE,FT,Data Scientist,191475.0,USD,191475.0,US,100,US,M
2022,SE,FT,Data Scientist,141525.0,USD,141525.0,US,100,US,M
2022,SE,FT,Data Scientist,191475.0,USD,191475.0,US,100,US,M
2022,SE,FT,Data Scientist,141525.0,USD,141525.0,US,100,US,M
2022,SE,FT,Data Scientist,191475.0,USD,191475.0,US,100,US,M
2022,SE,FT,Data Scientist,141525.0,USD,141525.0,US,100,US,M
2022,SE,FT,Data Scientist,191475.0,USD,191475.0,US,0,US,M
2022,SE,FT,Data Scientist,141525.0,USD,141525.0,US,0,US,M
2022,SE,FT,Data Scientist,204100.0,USD,204100.0,US,0,US,M
2022,SE,FT,Data Scientist,136100.0,USD,136100.0,US,0,US,M
2022,SE,FT,Data Scientist,191475.0,USD,191475.0,US,100,US,M
2022,SE,FT,Data Scientist,141525.0,USD,141525.0,US,100,US,M
2022,SE,FT,Data Scientist,191475.0,USD,191475.0,US,100,US,M
2022,SE,FT,Data Scientist,141525.0,USD,141525.0,US,100,US,M
2022,SE,FT,Data Scientist,191475.0,USD,191475.0,US,100,US,M
2022,SE,FT,Data Scientist,141525.0,USD,141525.0,US,100,US,M
2022,SE,FT,Data Scientist,170000.0,USD,170000.0,US,100,US,M
2022,SE,FT,Data Scientist,130000.0,USD,130000.0,US,100,US,M
2022,SE,FT,Data Scientist,175000.0,USD,175000.0,US,0,US,M
2022,SE,FT,Data Scientist,140000.0,USD,140000.0,US,0,US,M
2022,SE,FT,Data Scientist,160000.0,USD,160000.0,US,0,US,L
2022,SE,FT,Data Scientist,119300.0,USD,119300.0,US,0,US,L
2022,SE,FT,Data Scientist,203500.0,USD,203500.0,US,0,US,M
2022,SE,FT,Data Scientist,152000.0,USD,152000.0,US,0,US,M
2022,SE,FT,Data Scientist,170000.0,USD,170000.0,US,100,US,M
2022,SE,FT,Data Scientist,120000.0,USD,120000.0,US,100,US,M
2022,SE,FT,Data Scientist,123400.0,USD,123400.0,US,0,US,M
2022,SE,FT,Data Scientist,88100.0,USD,88100.0,US,0,US,M
2022,SE,FT,Data Scientist,245000.0,USD,245000.0,US,0,US,M
2022,SE,FT,Data Scientist,205000.0,USD,205000.0,US,0,US,M
2022,SE,FT,Data Scientist,180000.0,USD,180000.0,US,100,US,L
2022,SE,FT,Data Scientist,140000.0,USD,140000.0,US,100,US,L
2022,SE,FT,Data Scientist,160000.0,USD,160000.0,US,0,US,L
2022,SE,FT,Data Scientist,100000.0,USD,100000.0,US,0,US,L
2022,SE,FT,Data Scientist,160000.0,USD,160000.0,US,100,US,L
2022,SE,FT,Data Scientist,92000.0,USD,92000.0,US,100,US,L
2022,SE,FT,Data Scientist,160000.0,USD,160000.0,US,0,US,L
2022,SE,FT,Data Scientist,119300.0,USD,119300.0,US,0,US,L
2022,SE,FT,Data Scientist,160000.0,USD,160000.0,US,100,US,L
2022,SE,FT,Data Scientist,92000.0,USD,92000.0,US,100,US,L
2022,SE,FT,Data Scientist,186000.0,USD,186000.0,US,0,US,M
2022,SE,FT,Data Scientist,148800.0,USD,148800.0,US,0,US,M
2022,SE,FT,Data Scientist,215300.0,USD,215300.0,US,100,US,L
2022,SE,FT,Data Scientist,158200.0,USD,158200.0,US,100,US,L
2022,SE,FT,Data Scientist,170000.0,USD,170000.0,US,100,US,M
2022,SE,FT,Data Scientist,123000.0,USD,123000.0,US,100,US,M
2022,SE,FT,Data Scientist,215300.0,USD,215300.0,US,0,US,L
2022,SE,FT,Data Scientist,140400.0,USD,140400.0,US,0,US,L
2022,SE,FT,Data Scientist,260000.0,USD,260000.0,US,100,US,M
2022,SE,FT,Data Scientist,180000.0,USD,180000.0,US,100,US,M
2022,SE,FT,Data Scientist,180000.0,USD,180000.0,US,0,US,M
2022,SE,FT,Data Scientist,80000.0,USD,80000.0,US,0,US,M
2022,SE,FT,Data Scientist,165220.0,USD,165220.0,US,100,US,M
2022,SE,FT,Data Scientist,120160.0,USD,120160.0,US,100,US,M
2022,SE,FT,Data Scientist,180000.0,USD,180000.0,US,0,US,L
2022,SE,FT,Data Scientist,120000.0,USD,120000.0,US,0,US,L
2022,SE,FT,Data Scientist,136620.0,USD,136620.0,US,100,US,M
2022,SE,FT,Data Scientist,99360.0,USD,99360.0,US,100,US,M
2022,SE,FT,Data Scientist,146000.0,USD,146000.0,US,100,US,M
2022,SE,FT,Data Scientist,123000.0,USD,123000.0,US,100,US,M
2022,SE,FT,Data Scientist,167000.0,USD,167000.0,US,100,US,M
2022,SE,FT,Data Scientist,123000.0,USD,123000.0,US,100,US,M
2022,SE,FT,Data Scientist,211500.0,USD,211500.0,US,100,US,M
2022,SE,FT,Data Scientist,138600.0,USD,138600.0,US,100,US,M
2022,SE,FT,Data Scientist,150000.0,USD,150000.0,US,0,US,M
2022,SE,FT,Data Scientist,95550.0,USD,95550.0,US,0,US,M
2022,SE,FT,Data Scientist,205300.0,USD,205300.0,US,0,US,L
2022,SE,FT,Data Scientist,140400.0,USD,140400.0,US,0,US,L
2022,SE,FT,Data Scientist,176000.0,USD,176000.0,US,100,US,M
2022,SE,FT,Data Scientist,144000.0,USD,144000.0,US,100,US,M
2022,SE,FT,Data Scientist,205300.0,USD,205300.0,US,0,US,M
2022,SE,FT,Data Scientist,140400.0,USD,140400.0,US,0,US,M
2022,SE,FT,Data Scientist,230000.0,USD,230000.0,US,100,US,M
2022,SE,FT,Data Scientist,150000.0,USD,150000.0,US,100,US,M
2022,SE,FT,Data Scientist,210000.0,USD,210000.0,US,100,US,M
2022,SE,FT,Data Scientist,140000.0,USD,140000.0,US,100,US,M
2022,SE,FT,Data Scientist,210000.0,USD,210000.0,US,100,US,M
2022,SE,FT,Data Scientist,140000.0,USD,140000.0,US,100,US,M
2022,SE,FT,Data Scientist,210000.0,USD,210000.0,US,100,US,M
2022,SE,FT,Data Scientist,140000.0,USD,140000.0,US,100,US,M
2022,SE,FT,Data Scientist,210000.0,USD,210000.0,US,100,US,M
2022,SE,FT,Data Scientist,140000.0,USD,140000.0,US,100,US,M
2022,SE,FT,Data Scientist,230000.0,USD,230000.0,US,100,US,M
2022,SE,FT,Data Scientist,140000.0,USD,140000.0,US,100,US,M
2022,SE,FT,Data Scientist,220000.0,USD,220000.0,US,100,US,M
2022,SE,FT,Data Scientist,140000.0,USD,140000.0,US,100,US,M
2022,SE,FT,Data Scientist,185100.0,USD,185100.0,US,100,US,M
2022,SE,FT,Data Scientist,104890.0,USD,104890.0,US,100,US,M
2022,SE,FT,Data Scientist,165000.0,USD,165000.0,US,100,US,M
2022,SE,FT,Data Scientist,100000.0,USD,100000.0,BR,100,US,M
